PartNumber,Description,ItemStatus,SalesUnit,Authorization,PriceGroup,PriceGroupDescription,ProductLifeCycleManagement,ItemClass
095-0351                      ,MINI TILT SINGLE-STUD WALL PLATE,No Request,EA,,PRO,Professional Sales Price Group,,FAB                 PUNCH
095-1422                      ,"CABLE SUPPORT BRACKET, MIS298, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
095-1423                      ,"SWIVEL LOCK BRACKET, MIS298, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
095-1817                      ,"COVER CABLE MANANGEMENT,4.25"",BLK",Active,EA,,PRO,Professional Sales Price Group,,PPA                      
095-1818                      ,"COVER CABLE MANANGEMENT,6.75"",BLK",Active,EA,,PRO,Professional Sales Price Group,,PPA                      
095-1982                      ,"WL PLT ADPT, SA/SP730/740/P,BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
095-4671                      ,"TOP VERTICAL BRACKET WELDMENT, SLV",Active,EA,,PRO,Professional Sales Price Group,,FAB                 WELD 
095-4673                      ,"BOTTOM VERTICAL BRACKET WLDMNT, SLV",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
095-4688                      ,"MIDDLE VERTICAL BRACKET MIS621, SLV",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
095-8105                      ,"FASTPACK, LARGE SCREEN SECURE, Geo Met Black",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
095-8132-2                    ,FASTPACK FOR ACC450,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
095-8712                      ,FAST PACK FOR MIS621,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
095-8757                      ,FASTPACK FOR MIS745,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
095-8803                      ,FASTPACK FOR DSF290,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
095-8822                      ,FAST PACK FOR MIS942,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
095-8823                      ,FAST PACK FOR DST995,Active,EA,,DS,Digital Signage,,FAST                     
095-8826                      ,FASTPACK FORM MIS655,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
095-8835                      ,FAST PACK FOR FLAT HEAD WOOD SCREWS AND ANCHORS (4),No Purchases,EA,,PRO,Professional Sales Price Group,,FAST                     
095-8836                      ,FAST PACK FOR BIG WOOD SCREWS AND ANCHORS (4),No Purchases,EA,,PRO,Professional Sales Price Group,,FAST                     
095-8840                      ,"FASTPACK, 5 WOOD SCREWS",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
095-P1590                     ,"200 X 100 ADATER BRACKET, GBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
095-P1989                     ,"IN WALL BOX ASSM, IM760, GBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
095-SG1320                    ,"WALL PLATE, SF630/635, SGBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-0496                      ,"ADAPTER PLATE, PA762",Active,EA,,PRO,Professional Sales Price Group,,PPA                      
096-0501                      ,"BACK UP PLATE, LARGE SA LINE",Active,EA,,PRO,Professional Sales Price Group,,FAB                 LASER
096-1171                      ,"WING PLATE, 4X4, LEFT, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-1172                      ,"WING PLATE, 4X4, RIGHT, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-1173                      ,"BRACKET, 200 X 100 RH ADAPTER, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-1174                      ,"BRACKET, 200 X 100 LH ADAPTER, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-1209                      ,"WALL PLT ASY, HZ, 34""  SFL670, BLK",No Request,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-1235                      ,"SP850 WALL MT & ADPR PLT ASSY, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
096-1381                      ,"WALL PLATE, TVF624-637, BLK",No Request,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-1391                      ,"ASSEMB LY, TILT BRACKET, TVT646/665, LH, BLK",No Request,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
096-1399                      ,"V200 UNIVERSAL PLATE, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-1437                      ,"VERTICAL PLATE ASSEMBLY, UNIV. MOUNT, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-1439                      ,"HORIZONTAL PLATE, UNIV. MOUNT, 600MM, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-1440                      ,"PLATE NUT, M5 X 3.25, BLK OXIDE",Active,EA,,PRO,Professional Sales Price Group,,PPA                 NUTS 
096-1455                      ,"HORIZONTAL PLATE, UNIV. MOUNT, 400MM, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-1641                      ,"LOCK HOOK, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-1713                      ,"LOCKING TAB, SLAT WALL BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-2258                      ,"WALL PLATE, WHT",No Request,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-2260                      ,"BUMPER BRKT, WHT",No Request,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-8022                      ,"FASTPACK, WALL SIDE, SM FLAT, SEC",No Request,EA,,PRO,Professional Sales Price Group,,FAST                     
096-8024                      ,"FASTPACK, WALL SIDE, SA SM TILT, SEC",No Request,EA,,PRO,Professional Sales Price Group,,FAST                     
096-8025                      ,"FASTPACK, WALL SIDE, SA SM TILT, PHL",No Request,EA,,PRO,Professional Sales Price Group,,FAST                     
096-8028                      ,"FASTPACK, ACCESSORY, V400 WINGS",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
096-8029                      ,"FASTPACK, ACCESSORY, V200 WINGS",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
096-8061                      ,"FASTPACK, 4MM SECURITY DRIVER",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
096-8062                      ,"FASTPACK, PA750",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
096-8063                      ,"FASTPACK, ESA763PU",Active,EA,,PRO,Professional Sales Price Group,,FAST                     
096-8064                      ,"FASTPACK, PA750 ADDITIONAL",No Request,EA,,PRO,Professional Sales Price Group,,FAST                     
096-8065                      ,FASTPACK FOR IM760PU,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
096-8072                      ,FASTPACK FOR HA746-STB,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
096-8076                      ,FASTPACK FOR HA746-STB,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
096-P1360                     ,"PLATE, ADAPTER, PT632, GBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-P1380                     ,"VESA STRIP, PA746, GBLK",Active,EA,,PRO,Professional Sales Price Group,,PPA                      
096-P1437                     ,"VERTICAL PLATE ASSEMBLY, UNIV. MOUNT, GL BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-P1439                     ,"HORIZONTAL PLATE, UNIV. MOUNT, 600MM, GL BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-P1496                     ,"ADAPTER PLATE, PA762, GBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-P1612                     ,"ASSEMBLY, ARM AND TILT HEAD, GBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
096-SG1399                    ,"ADAPTER PLATE, SMART 635, SGBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-SG1467                    ,"V100 PLATE ASSY, SGBLK",No Purchases,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
096-SG1473                    ,"ADAPTER ASSEMBLY, SA7XXPU, SGBLK",No Purchases,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
096-T1614                     ,"ADP PLATE EPA762PU & EPA630, PRIME, TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
096-T5571                     ,"SMART FLT 16.89"" SLIM SEC BKT ASY, E-COAT, TBLK DACOR",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
100-0110                      ,CEILING PLATE STUB,Active,EA,,PRO,Professional Sales Price Group,,FAB                 TUBE 
100-1035                      ,"U-BOLT CLAMP PEM ASY, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
100-1044                      ,"CEILING PLATE, CATHEDRAL, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
100-1047                      ,"TILT PLATE, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
100-1048                      ,"SUPPORT COLLAR, RAVEN BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
100-1057                      ,"I-BEAM CLAMP, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
100-1065                      ,"EXTENSION POLE, 2"" OD, 1.0M LG, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
100-1068                      ,"EXTENSION POLE, 2"" OD, 3.0M LG, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
100-1069                      ,"TURN BOX FINAL ASY, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
100-1085                      ,"HORIZONTAL RAIL PEM ASY., BLK",No Request,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
100-1088                      ,"CLAMP HALF - MOD ASC2, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
100-1091                      ,"TILT PLATE - MOD FMPS2/ FMPD2, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
100-1097                      ,"WALL PLATE - MOD WP2, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
100-1112                      ,"TILT BOX - MOD FPMS2 - ASY, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
100-1120                      ,"CEILING PLATE, SQ (7.4X6.8), BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
100-1125                      ,"TILT BOX, FINAL ASSEMBLY, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
100-1131                      ,"SCREEN STACKING CLAMP (HALF), BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
100-8004                      ,FASTPACK FOR ACC-CCP,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
100-T1085                     ,"HORIZONTAL RAIL PEM ASY, TBLK",No Purchases,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
100-T1123                     ,"ADAPTER VERTICAL - MOD UNL2 - VERTICAL RIGHT, TBLK",No Purchases,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
100-T1124                     ,"ADAPTER VERTICAL - MOD UNL2 - VERTICAL LEFT, TBLK",No Purchases,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
10000819                      ,"CASTER, 3.94"" SINGLE WHEEL W/BRAKE",Inactive,EA,,PRO,Professional Sales Price Group,,PP                       
104-6114                      ,"STAND POST WELDMENT, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
120-0185                      ,"BOX,IN WALL, IBA2, RAW",Active,EA,,PRO,Professional Sales Price Group,,FAB                 COMBO
120-0186                      ,"BOX,IN WALL, IBA3, RAW",Active,EA,,PRO,Professional Sales Price Group,,FAB                 COMBO
120-0187                      ,"PLATE, ELECTRICAL COVER, RAW",Active,EA,,PRO,Professional Sales Price Group,,FAB                 LASER
120-2187                      ,"PLATE, ELECTRICAL COVER, WHT",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
120-8088-W                    ,FAST PACK FOR IBA2/3-W,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
120-P1187                     ,"PLATE, ELECTRICAL COVER, GBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
124-1702                      ,"CABLE WALL BRACKET, MIS235, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
124-1778                      ,"SPEAKER BRKT FOR MIS318, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
124-1792                      ,"MIS 373 SWIVEL TUBE, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
124-1796                      ,"MIS 373 BASE WELDMENT, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
124-1818                      ,"SWIVEL LOCK ANGLE IRON BRKT, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
124-1943                      ,"LFT VERT SPRT BRKT FOR MIS529, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
124-1944                      ,"RT VERT SPRT BRKT FOR MIS529, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
124-1945                      ,"SHELF ADJ BRKT FOR MIS529, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
124-8762-1                    ,FAST PACK FOR MIS373,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
124-8793                      ,FAST PACK FOR ACC-VW-XX,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
124-8806-1                    ,FAST PACK FOR AVTV42 (EXPRS ANCH),Active,EA,,PRO,Professional Sales Price Group,,FAST                     
125-0459                      ,COMPUTER BOX COVER,Active,EA,,PRO,Professional Sales Price Group,,FAB                 COMBO
125-1459                      ,"COMPUTER BOX COVER, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
125-1460                      ,SLIDE OUT PLATE FOR DMU50SM-02,Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
125-1469                      ,"HOOK ON BRACKET LFT FOR MIS819, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
125-1470                      ,"HOOK ON BRACKET RT FOR MIS819, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
125-1471                      ,"SIDE CONNECTION BRACKET FOR MIS819, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
125-1473                      ,"STIFFENER PLATE FOR MIS819, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
125-1474                      ,"CENTER CONNECTION BRACKET FOR MIS819, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
125-1493                      ,"HOOK ON BRACKET FOR MIS818, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
125-1498                      ,"HOOK ON BRKT ASSY FOR MIS818, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
125-1510                      ,"SIDE COVER FOR MIS937, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
125-1512                      ,"RAIL FOR 4X1 CEILING MOUNT, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
125-1595                      ,"COMPONENT PLATE, MIS807-4X4-Q10, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
125-8051                      ,FAST PACK FOR ACCXT200/201,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
125-8085                      ,FAST PACK FOR MIS8818,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
125-P1571                     ,"WALL PLATE FOR LG-WMF86BH, GBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
126-1078                      ,"WALL PLATE, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
126-1094                      ,ADJUSTMENT TUBE CAP ASSEMBLY FOR MIS33759,Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
126-T1078                     ,WALL PLATE PAINTED,Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
130-1011                      ,"SIGNAGE BRACKET, PIC-NGTV-01, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
130-1018                      ,"SAFETY COVER , PIC-NGTV-01,04, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
130-1019                      ,"SPEAKER BRACKET , PIC-NGTV-01, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
130-1050                      ,"SIGNAGE BRACKET, PIC-NGTV-03, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
130-1060                      ,"COMPLIANCE COVER , PIC-NGTV-04, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
130-1500                      ,"YAW LOCK BRACKET FOR 080000350, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
130-T1414                     ,"HOOK BRKT ASSY RH, 080000274, TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
130-T1416                     ,"HOOK BRKT ASSY LH, 080000274, TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
135-8005                      ,FASTPACK FOR MIS334,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
139-8015                      ,FAST PACK FOR PLB-1,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
145-0299                      ,VERTICAL SPACER FOR DS-VWS013 POR,Active,EA,,PRO,Professional Sales Price Group,,FAB                 LASER
145-0323                      ,HORIZONTAL SPACER FOR DS-VWS013 POR,Active,EA,,PRO,Professional Sales Price Group,,FAB                 LASER
145-0347                      ,UPPER ADAPTER BRKT FOR MIS741,Active,EA,,PRO,Professional Sales Price Group,,FAB                 LASER
145-0348                      ,LOWER ADAPTER BRKT FOR MIS741,Active,EA,,PRO,Professional Sales Price Group,,FAB                 LASER
145-0441                      ,HORIZONTAL SPACER FOR DS-VWS40 POR,Active,EA,,PRO,Professional Sales Price Group,,FAB                 LASER
145-0931                      ,"SHELF,COMPUTER DS-VWC, RAW",Active,EA,,PRO,Professional Sales Price Group,,FAB                 LASER
145-1049                      ,"WALL PLATE ASSM FOR DST360, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
145-1053                      ,"TILT ADAPTER PLATE FOR DS509, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-1055                      ,"DS509 WALL PLATE ASSY, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
145-1114                      ,HORIZONTAL SPACER FOR DS-VWS009 BLK,Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-1115                      ,VERTICAL SPACER FOR DS-VWS009 BLK,Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-1200                      ,"VERTICAL ADAPTER RAILS DS-VW650,BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-1201                      ,"LOCK BRACKET FOR DS-VW650, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-1238                      ,"RIVET ASSY FOR DS-VWC560, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
145-1299                      ,"VERT SPACER FOR DS-VWS013 POR, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-1347                      ,"UPPER ADAPTER BRKT FOR MIS741, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-1348                      ,"LOWER ADAPTER BRKT FOR MIS741, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-1350                      ,"HORIZONTAL SPACER, DS-VWS040, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-1351                      ,"VERTICAL SPACER FOR DS-VWS040, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-1403                      ,"HORIZONTAL SPACER FOR DS-VWS045,BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-1404                      ,"VERTICAL SPACER FOR DS-VWS045,BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-1405                      ,"HOR SPACER FOR DS-VWS045 POR, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-1406                      ,"VERT SPACER FOR DS-VWS045 POR, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-1452                      ,"FAB, MAIN COVER PLT FOR DST965, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-1453                      ,"FAB, SIDE COVER PLT FOR DST965, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-1454                      ,"FAB, BOTTOM COVER PLT, DST965, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-1461                      ,"TILT PLATE FOR DST660, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-1463                      ,"ADAPTER RAIL PEM ASY FOR DST660,BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-1779                      ,"ADAPTER ASSEMBLY FOR MOSAIC, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
145-1782                      ,"MAIN SUPPORT BOX RIVET/WLD ASSY, DST995, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-8008-1                    ,FASTPACK1 FOR DST360 (EXPRS ANCH),Active,EA,,PRO,Professional Sales Price Group,,FAST                     
145-8009                      ,FASTPACK2 FOR DST360,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
145-8010                      ,FASTPACK3 FOR DST360,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
145-8019                      ,FASTPACK FOR DS-VW650,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
145-8029-2                    ,FAST PACK FOR VIDEO WALL,Active,EA,,DS,Digital Signage,,FAST                     
145-8050-1                    ,FAST PACK FOR ACC-V400X,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
145-8052                      ,FAST PACK FOR DST965,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
145-8076                      ,FAST PACK FOR MOSAIC,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
145-8078                      ,FAST PACK FOR QUICK RELEASE,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
145-8080-1                    ,FAST PACK FOR DS-C560-2X2,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
145-8082-1                    ,FAST PACK FOR DS-C555-3X3,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
145-8088                      ,FAST PACK FOR CEILING MOUNTS 4 SCREEN,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
145-8093-1                    ,FAST PACK FOR DS-S555-3X3,Active,EA,,DS,Digital Signage,,FAST                     
145-8097                      ,FAST PACK FOR DS-MB%,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
145-8109                      ,FASTPACK FOR DS-C560-1X3,Active,EA,,DS,Digital Signage,,FAST                     
145-8113                      ,FASTPACK FOR ACC-M835,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
145-8116                      ,FASTPACK FOR ACC-M840,Active,EA,,PRO,Professional Sales Price Group,,FAST                     
145-8120                      ,"FASTPACK, SCREEN SIDE FOR VIDEO WALL",Active,EA,,DS,Digital Signage,,FAST                     
145-T1262                     ,"KNOB BRACKET, TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-T1578                     ,"RAIL ASSEMBLY FOR DS-VW655, TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
145-T1767                     ,"BASE LEG, ALUM DS-VWC, TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-T1778                     ,"EXTENSION EXTRUSION, 18"", TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-T1785                     ,"EXTRUSION, HORIZONTAL, 60, TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-T1799                     ,"BRACKET, WHEEL SUPPORT,DS-VWC,TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-T1806                     ,"BRACKET,VERTICAL SUPPORT,DS-VWC,TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-T1807                     ,"BRACKET, SIDE SUPPORT, DS-VWC,TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-T1809                     ,"COVER, EXTRUSION END, DS-VWC,TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-T1812                     ,"WELDMENT, VERTICAL SUPPORT, TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-T1816                     ,"WELDMENT, 40"" RAIL,DS-VWC, TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-T1821                     ,"PLATE CONNECTION W/PEMS,DS-VWM,TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-T1858                     ,"BRACKET, 4X2 CONFIG, DS-VWC, TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-T1924                     ,"ASSEMBLY DUAL RAIL, DS-VWC, TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
145-T1930                     ,"COVER, COMPUTER DS-VWC, TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-T1931                     ,"SHELF,COMPUTER DS-VWC,TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-T1935                     ,"WELDMENT, EXTENSION ADAPTER, TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
145-T1936                     ,"M5, LOCKING TAB,DS-VWM, TBLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
146-0065                      ,"WELDMENT - CENTER SUPPORT, 4 POSITION",Active,EA,,PRO,Professional Sales Price Group,,FAB                 WELD 
146-0131                      ,"COLUMN, FLOOR MOUNTED, 72"" LONG",Active,EA,,PRO,Professional Sales Price Group,,FAB                 TOOL 
146-0286                      ,"FRAME WALL, 38"" W/KEYHOLE, WELDED ASSY",Active,EA,,PRO,Professional Sales Price Group,,FAB                 WELD 
146-0369                      ,"FRAME 35"", W/KEYHOLE & UNISTRUT SLOTS, WELDMENT ASSY",No Request,EA,,PRO,Professional Sales Price Group,,PP                       
146-1065                      ,"WELDMENT, CENTER SUPPORT, 4 POSITION, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
146-1069                      ,"WELDMENT- GUSSET ARM, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
146-1074                      ,"COVER, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
146-1156                      ,"COVER BRACKET, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
146-1285                      ,"FRAME WALL, 35"" W/KEYHOLE, WELDED ASSY, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
146-1319                      ,"NUT BAR, M8 x 2.00"",BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                      
146-1369                      ,"FRAME 35"", W/KEYHOLE & UNISTRUT SLOTS, WELDMENT ASSY, BLK",Active,EA,,PRO,Professional Sales Price Group,,PPA                      
146-1388                      ,"ADAPTER ARM ASSEMBLY, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 ASSYP
146-1390                      ,"WELDMENT, ADAPTER ARM, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
146-1434                      ,"POST WELDMENT - ACC-MBF, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
146-1596                      ,"HORIZONTAL RAIL, DS-VW655-2X2, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
146-1597                      ,"VERTICAL SUPPORT, DS-VW655-2X2, BLK",Active,EA,,PRO,Professional Sales Price Group,,FAB                 PAINT
