PartNumber,ItemClass
151-P1565,FAB                 PAINT
151-P1568,FAB                 PAINT
151-P1572,FAB                 PAINT
151-P1574,FAB                 PAINT
151-P1577,FAB                 PAINT
151-P1694,FAB                 PAINT
151-P1704,FAB                 PAINT
151-P1707,FAB                 PAINT
151-T1213,FAB                 PAINT
151-T1557,FAB                 PAINT
151-T1562,FAB                 PAINT
151-T1616,FAB                 PAINT
151-T1791,FAB                 PAINT
151-T1792,FAB                 PAINT
151-T1951,FAB                 PAINT
151-T1955,FAB                 PAINT
152-0053,FAB                 LASER
152-0163,FAB                 LASER
152-0480,FAB                 LASER
152-0481,FAB                 LASER
152-0542T,FAB                 LASER
152-1042,FAB                 ASSYP
152-1053,FAB                 PAINT
152-6101,FAB                 PAINT
152-6116,FAB                 PAINT
152-T1163,FAB                 PAINT
152-T1480,FAB                 PAINT
152-T1481,FAB                 PAINT
180-0620,PP                  ELECT
202-1893,FAB                 ASSYP
210-8025,FAST
410-0012,PP                  ELECT
410-0322,PP                  ELECT
48X40 SKID W-PLATEFORM,PP                  SKIDS
500-1104,FAST                HW
500-2104,FAST                HW
520-0034,FAST                HW
520-0661,FAST                HW
520-0881,FAST                HW
520-2653,FAST                HW
520-9708,FAST                HW
521-0046,FAST                HW
521-0683,FAST                HW
530-0037,FAST                NUT
530-0058,FAST                WASH
530-1017,FAST                NUT
530-1056,FAST                NUT
540-0683,FAST                WASH
540-0723,FAST                WASH
540-0725,FAST                WASH
550-0051,FAST                RIVET
550-0067,FAST                RIVET
550-1056,FAST                RIVET
550-1057,FAST                RIVET
550-5052,FAST                RIVET
550-5067,FAST                RIVET
560-0884,PP                  MISC
560-0887,PP                  MISC
560-0888,PP                  MISC
560-0910,FAST                HW
560-1756,FAST                MISC
561-0065,PP                  MISC
565-0068,PP                  MISC
565-0306,PP                  MISC
565-0307,PP                  MISC
570-0029,PP                  MISC
570-0075B,PP                  ADPRT
570-0104,PP                  ADPRT
570-0107,PP                  MISC
590-0994,PP                  ACRYL
590-9470,PP                  ACRYL
591-0021,PP                  MISC
591-0025,PP                  ACRYL
600-0106,PP                  MISC
600-0216,PP                  ELECT
600-0319,PP                  ELECT
600-0330,PP                  ELECT
600-0332,PP                  ELECT
600-0348,PP                  MISC
600-0359,PP                  MISC
600-0383,PP                  ELECT
600-0384,PP                  ELECT
600-0399,PP                  ACRYL
600-0407,PP                  MISC
600-0427,PP                  ELECT
600-0505,PP                  ELECT
600-0661,PP                  MISC
600-0701,PP                  ACRYL
600-0717,PP                  MISC
600-0718,PP                  MISC
600-0737,FAB                 MACHN
600-5657,PP                  HINGE
600-5658,PP                  HINGE
600-5737,PP                  HINGE
600-9035,PP                  ELECT
60X40-SD-SKID,PP                  SKIDS
65X44-SD-SKID,PP                  SKIDS
981-0581,CARTN               BOXES
981-0756,CARTN               BOXES
981-0757,CARTN               BOXES
981-0761,CARTN               BOXES
981-0895,CARTN               BOXES
981-0896,CARTN               BOXES
981-0902,CARTN               BOXES
981-0958,CARTN               BOXES
982-0743,CARTN               INSRT
982-0750,CARTN               INSRT
984-0043,PP                  BAGS
AS222-NC,PP                  ELECT
017-0001,FAB                 LASER
017-0019,FAB                 WELD
021-0041,PP
081-0007,FAB                 PUNCH
081-0049,FAB                 COMBO
081-0050,FAB                 COMBO
081-0051,FAB                 COMBO
081-0052,FAB                 COMBO
081-0053,FAB                 COMBO
090-0817,FAB                 WELD
090-8603,FAST
10000813,PP
10003062,FAST                WASH
1235-305K,FAB                 PUNCH
124-0062,FAB                 COMBO
124-0063,FAB                 PUNCH
124-1974,FAB                 PAINT
128-0059,FAB                 WELD
128-0085,FAB                 COMBO
128-0087,FAB                 WELD
128-0185,FAB                 WELD
128-0198,FAB                 WELD
128-0207,FAB                 PUNCH
145-1178,FAB                 PAINT
145-1180,FAB                 PAINT
1455-406-1,FAB                 WELD
146-1066,FAB                 PAINT
146-1983,FAB                 PAINT
146-1985,FAB                 PAINT
146-T1290,FAB                 PAINT
147-0848,FAB                 PEM
147-1022,FAB                 PAINT
147-1497,FAB                 PAINT
147-1701,FAB                 ASSYP
147-1724,FAB                 ASSYP
147-1725,FAB                 ASSYP
147-1748,FAB                 ASSYP
147-1749,FAB                 ASSYP
147-1803,FAB                 PAINT
147-1804,FAB                 PAINT
147-1810,FAB                 ASSYP
147-1838,FAB                 PAINT
147-1848,FAB                 PAINT
147-1876,FAB                 PAINT
150-P1595P,FAB                 PAINT
150-P1600P,FAB                 PAINT
151-0493,FAB                 LASER
151-0523,FAB                 LASER
151-4564,FAB                 PAINT
151-4566,FAB                 PAINT
151-4568,FAB                 PAINT
151-4599,FAB                 PAINT
151-4617,FAB                 PAINT
151-4673,FAB                 PAINT
151-4707,FAB                 PAINT
151-4915,FAB                 ASSYP
151-4973,FAB                 PAINT
151-J1512,FAB                 PAINT
151-P1575,FAB                 PAINT
151-P1936,FAB                 PAINT
151-P1948,FAB                 PAINT
151-P1961,FAB                 PAINT
151-T1493,FAB                 PAINT
151-T1617,FAB                 PAINT
151-T1954,FAB                 PAINT
152-0543,FAB                 LASER
152-4002,FAB                 PAINT
152-T1511,FAB                 PAINT
152-T1520,FAB                 PAINT
170-0039,FAB                 LASER
200-8695,FAST
210-8091,FAST
2141-303,FAB                 PUNCH
410-0456,PP                  ELECT
410-0459,PP                  ELECT
410-1198,FAB                 ASSYP
410-1199,FAST
410-1330,PP                  ELECT
410-1332,PPA                 ELECT
520-0074,FAST                HW
520-D1257,FAST                HW
521-1038,FAST                HW
521-2043,FAST                HW
530-9314,FAST                NUT
565-0301,PP                  MISC
580-0514-450,FAB
590-1150,FAST                WASH
590-2123,PP                  PLPRT
590-2295,FAST                WASH
600-0381,PP                  ELECT
600-0660,PP                  MISC
600-0817,PP                  ELECT
600-0818,PP                  ELECT
600-0834,PP                  ACRYL
600-0835,PP                  GLASS
600-0836,PP                  ACRYL
600-1424,PP                  ELECT
981-0960,CARTN               BOXES
981-0961,CARTN               BOXES
983-0737,PP                  LABEL
ACC845,APNS
ACC-VS2,APNS
ELO E021014,PP                  ELECT
GAS-0019,PP                  MISC
JELCO K1,PP
JELCO K2,PP
JELCO K3,PP
JELCO K4,PP
KIT-LED001-3,FAST
KIT-LED003-3,FAST
KIT-LED005,FAST
KIT-LEDSTK-A27-CTR,FAST
KIT-LEDSTK-A27-END,FAST
KIT-LEDWP01,FAST
PAK-0011,PP                  MISC
TSI55P-XHB,PP                  ELECT
10001541-RBLK,FAB                 ASSYP
10001543-RBLK,FAB                 ASSYP
10001686-RBLK,FAB                 ASSYP
10001687-RBLK,FAB                 ASSYP
10001709-RBLK,FAB                 ASSYP
10004431-RBLK,FAB                 ASSYP
10004432-RBLK,FAB                 ASSYP
10004433-RBLK,FAB                 ASSYP
10003159,FAB                 COMBO
10003206-RBLK,PP
10003143-TBLK,FAB                 PAINT
10003159-TBLK,FAB                 PAINT
10005438-RBLK,FAB                 PAINT
KIT-LEDSTK-LSCB-CTR,FAST
KIT-LEDSTK-LSCB-END,FAST
10005280,PP                  ELECT
10005327,FAST                NUT
600-0466,PP                  ELECT
10007325,FAB                 ASSYP
10007532,FAB                 ASSYF
10010065-RBLK,FAB                 PAINT
10010072-RBLK,FAB                 PAINT
10010102-RBLK,FAB                 PAINT
10010106-RBLK,FAB                 PAINT
147-8120,FAST
154-8184,FAST
600-0453,PP                  ELECT
55XHBWARR-003,WRNTY
55XHBWARR-034,WRNTY
55XHBWARR-345,WRNTY
65XHBWARR-003,WRNTY
65XHBWARR-034,WRNTY
65XHBWARR-345,WRNTY
10012066-BLK,FAB                 PAINT
10012108,FAB                 COMBO
10012125-BLK,FAB                 PAINT
10013474,FAB                 ASSYP
10013475,FAB                 ASSYP
10013919,FAB                 ASSYP
10014140,PP                  ELECT
10014964,FAST                NUT
10015017,FAB                 ASSYP
10015458,FAB                 COMBO
10015946,FAB                 COMBO
10016131,FAB                 COMBO
10016357,FAB                 COMBO
10017587,PPA
147-8446,FAST
200-2021,FAST
96X48-SD-SKID,PP                  SKIDS
981-1123,CARTN               BOXES
981-1133,CARTN               BOXES
KIT-30MM-EXTNB,PPA
KIT-30MM-EXTR-CONN,FAST
KIT-UNVLED-ANCHOR,FAST
KIT-UNVLED-LATCH,PPA
KIT-UNVLED-M10,FAST
KIT-UNVLED-M5-WR,FAST
KIT-UNVLED-M6,FAST
KIT-UNVLED-M8,FAST
KIT-UNVLED-SCR-1IN-WOOD,FAST
KIT-UNVLED-SCR-M5-LVL,FAST
KIT-UNVLED-SCR-WD,FAST
KIT-UNVLED-SHIM,FAST
KIT-UNVLED-STANDOFF,FAST
KIT-UNVLED-WALLPLATE,PPA
KIT-UNVLED-WRENCH,FAST
KIT-UNVLED-STANDOFF2,FAST
75XHBWARR-003,WRNTY
75XHBWARR-034,WRNTY
75XHBWARR-345,WRNTY
ACC-SAWPE,APNS
KIT-UNVLED-LATCH3,PPA
981-1169,CARTN               BOXES
981-1170,CARTN               BOXES
KIT-UNVLED-WP3,PPA
KIT-UNVLED-ADJ1200A,PP
KIT-UNVLED-EXT600A,PP
KIT-UNVLED-EXT960A,PP
KIT-UNVLED-EXT1200A,PP
KIT-EXTCON3,PP
KIT-UNVLED-STANDOFF3,PPA
KIT-UNVLED-SPACER3,PP
KIT-UNVLED-HW3,PPA
KIT-UNVLED-WPK,PP
10019843,PPA
981-1171,CARTN               BOXES
981-1172,CARTN               BOXES
KIT-UNVLED-AFP2,FAST
NTSB-DEFWAR-150-3,WRNTY
NTSB-DEFWAR-150-5,WRNTY
NTSD-DEFWAR-55-3,WRNTY
NTSD-DEFWAR-65-3,WRNTY
NTPS-DEFWAR-55-3,WRNTY
NTFS-DEFWAR-55-3,WRNTY
NTFS-DEFWAR-65-3,WRNTY
NTPS-DEFWAR-65-3,WRNTY
NTSD-DEFWAR-55-5,WRNTY
NTSD-DEFWAR-65-5,WRNTY
NTPS-DEFWAR-55-5,WRNTY
NTPS-DEFWAR-65-5,WRNTY
NTFS-DEFWAR-55-5,WRNTY
NTFS-DEFWAR-65-5,WRNTY
SA400,APNS
ACC-SA800,APNS
ACC-SAVAB,APNS
ACC-SA600,APNS
ACC-SA400,APNS
ACC-SA300,APNS
ACC-SA200,APNS
SOCAL CLADDING,ADJMT
SOCAL MOUNT SYSTEM,ADJMT
SOCAL NRE FEE,ADJMT
SOCAL PERIMETER EDGE TRIM,ADJMT
SOCAL PE STAMPED DRAWINGS,ADJMT
NTSB-DEFWAR-150-2,WRNTY
NTSD-DEFWAR-55-2,WRNTY
NTSD-DEFWAR-65-2,WRNTY
NTPS-DEFWAR-55-2,WRNTY
NTPS-DEFWAR-65-2,WRNTY
NTFS-DEFWAR-55-2,WRNTY
NTFS-DEFWAR-65-2,WRNTY
KIT-UNVLED-AFP5-M8,FAST
KIT-UNVLED-AFP5-M6,FAST
KIT-UNVLED-AFP5-M10,FAST
EL-CI12P,ET   STANDTILE
EL-CI15P,ET   STANDTILE
EL-CI18P,ET   STANDTILE
EL-CI07P,ET   STANDTILE
EL-CI09P,ET   STANDTILE
EL-PI12P,ET   STANDTILE
EL-PI15P,ET   STANDTILE
EL-PI09P,ET   STANDTILE
NTX612P,ET   STANDTILE
NTX615P,ET   STANDTILE
NTX512B,ET   STANDTILE
NTX518B,ET   STANDTILE
NTX515B,ET   STANDTILE
LEDMW-108-2KB,ET   STANDTILE
LEDMW-108-2KW,ET   STANDTILE
LEDMW-108-2KG,ET   STANDTILE
LEDMW-108-2KL,ET   STANDTILE
LEDMW-108-2KM,ET   STANDTILE
LEDMW-108-2KD,ET   STANDTILE
LEDMW-136-2KB,ET   STANDTILE
LEDMW-136-2KW,ET   STANDTILE
LEDMW-136-2KG,ET   STANDTILE
LEDMW-136-2KL,ET   STANDTILE
LEDMW-136-2KM,ET   STANDTILE
LEDMW-136-2KD,ET   STANDTILE
LEDMW-136-4KB,ET   STANDTILE
LEDMW-136-4KW,ET   STANDTILE
LEDMW-136-4KG,ET   STANDTILE
LEDMW-136-4KL,ET   STANDTILE
LEDMW-136-4KM,ET   STANDTILE
LEDMW-136-4KD,ET   STANDTILE
LEDMW-163-2KB,ET   STANDTILE
LEDMW-163-2KW,ET   STANDTILE
LEDMW-163-2KG,ET   STANDTILE
LEDMW-163-2KL,ET   STANDTILE
LEDMW-163-2KM,ET   STANDTILE
LEDMW-163-2KD,ET   STANDTILE
LEDMW-163-4KD,ET   STANDTILE
LEDMW-163-4KW,ET   STANDTILE
LEDMW-163-4KB,ET   STANDTILE
LEDMW-163-4KG,ET   STANDTILE
LEDMW-163-4KL,ET   STANDTILE
LEDMW-163-4KM,ET   STANDTILE
LEDMW-108-2KVCBB,ET   STANDTILE
LEDMW-108-2KVCWB,ET   STANDTILE
LEDMW-108-2KVCGB,ET   STANDTILE
LEDMW-108-2KVCLB,ET   STANDTILE
LEDMW-108-2KVCMB,ET   STANDTILE
LEDMW-108-2KVCDB,ET   STANDTILE
LEDMW-108-2KVCDG,ET   STANDTILE
LEDMW-108-2KVCBG,ET   STANDTILE
LEDMW-108-2KVCWG,ET   STANDTILE
LEDMW-108-2KVCGG,ET   STANDTILE
LEDMW-108-2KVCLG,ET   STANDTILE
LEDMW-108-2KVCMG,ET   STANDTILE
CI12K108,ET   STANDTILE
EL-SI09P,ET   STANDTILE
CI15K136,ET   STANDTILE
CI18K163,ET   STANDTILE
SI09K163,ET   STANDTILE
CI07K136,ET   STANDTILE
NTLED108-2K,ET   STANDTILE
NTLED136-2K,ET   STANDTILE
NTLED163-2K,ET   STANDTILE
NTPS1K-DEFWAR-75-4,WRNTY
NTFS26-DEFWAR-55-4,WRNTY
NTFS26-DEFWAR-65-4,WRNTY
NTFS26-DEFWAR-75-4,WRNTY
NTPS1K-DEFWAR-75-5,WRNTY
NTFS26-DEFWAR-55-5,WRNTY
NTFS26-DEFWAR-65-5,WRNTY
NTFS26-DEFWAR-75-5,WRNTY
NTLED108-WM,ET   STANDTILE
NTLED108-BD,ET   STANDTILE
NTLED136-BD,ET   STANDTILE
NTLED136-WM,ET   STANDTILE
NTLED163-WM,ET   STANDTILE
NTLED163-BD,ET   STANDTILE
10023478,PP                  ELECT
PRJ502551,ET   CUSTM
